name,org,role,email,region,source,first_contact_date,status,next_action,notes
Al Tamimi & Company,Al Tamimi,Partner,info@altamimi.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,large UAE firm
Hadef & Partners,Hadef,Head of Finance,info@hadef.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,regional firm
Afridi & Angell,Afridi,Senior Partner,info@afridi-angell.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,commercial law
Clyde & Co,Clyde,Partner,contact@clydeco.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,global presence
Dentons MENA,Dentons,Regulatory Lead,mena@dentons.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,regulatory practice
Trowers & Hamlins,Trowers,Partner,info@trowers.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,regional firm
BSA Ahmad Bin Hezeem,BSA,Partner,info@bsahezeem.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,litigation
Clyde & Co (Dubai),Clyde,Compliance,compliance@clydeco.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,crypto matters
Al Suwaidi & Company,Al Suwaidi,Partner,info@alsuwaidi.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,commercial
Binders & Partners,Binders,Legal Counsel,info@binders.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,smaller firm
Norton Rose Fulbright,Norton,Partner,info@nortonrosefulbright.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,international
Stephenson Harwood,Stephenson,Partner,info@stephensonharwood.com,UAE,LinkedIn,2025-12-20,not_contacted,send_intro_email,maritime & financ
