Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
0xdeae5b9cf7d7a95915372ae0e541f0fd91024a5bd98148f15f4d6565a9b3ab51,Success,Transfer,24038162,12/18/2025 8:01,0x8186a9c0018c765fab11c8c1e01dd309ce322ccf,,0x77EBDeF9dC7161a4A706CD387153B35C38527400,,0.49396939 ETH,"$1,457.72 ",0.0000756
0x3de1de7fd4840665b686b098b089b7897897bab3c6b5ee3e1f179bd82310b02a,Success,Transfer,24038155,12/18/2025 7:59,0x9e1a869ce3219239f516aa5600f077f1e0cef995,,0x8186a9C0018c765fab11C8C1e01dD309CE322cCf,,0.49404499 ETH,"$1,457.94 ",0.00010492
0xc73cf141e8d53552c2ad3bdb8945302cbc9812e2f5ac4510a759f40d1fc66507,Success,Transfer,24037867,12/18/2025 7:01,0x8186a9c0018c765fab11c8c1e01dd309ce322ccf,,0x77EBDeF9dC7161a4A706CD387153B35C38527400,,0.4799244 ETH,"$1,416.27 ",0.0000756
0x643f50fe8f59498db3ddc8520be4034307b88176174bb6d5a6e6e015815e76d7,Success,Transfer,24037860,12/18/2025 7:00,0x9e1a869ce3219239f516aa5600f077f1e0cef995,,0x8186a9C0018c765fab11C8C1e01dD309CE322cCf,,0.48 ETH,"$1,416.50 ",0.00010495
0x0a2b2e9baf3de1bd8dfeb55ac45c76a609dd6a4c3a1f21c8ef5a854862b360c8,Success,Transfer,24037776,12/18/2025 6:43,0x8186a9c0018c765fab11c8c1e01dd309ce322ccf,,0x77EBDeF9dC7161a4A706CD387153B35C38527400,,0.44019385 ETH,"$1,299.03 ",0.0000756
0xec7b94659646532f99b37327b3bac63e6f32b16382ea4d7925f065db84094ddc,Success,Transfer,24037769,12/18/2025 6:42,0x9e1a869ce3219239f516aa5600f077f1e0cef995,,0x8186a9C0018c765fab11C8C1e01dD309CE322cCf,,0.44026945 ETH,"$1,299.25 ",0.000105
0xa74074c30964ba2dc3573ccefbce4122da8b3e7b6781335af4d84da41871f672,Success,Transfer,24037638,12/18/2025 6:15,0x8186a9c0018c765fab11c8c1e01dd309ce322ccf,,0x77EBDeF9dC7161a4A706CD387153B35C38527400,,0.35372611 ETH,"$1,043.86 ",0.0000756
0xeb4dcb09b5ff1d438377cdabf068ec581474096cb5578e73b26b1f73dbab7bea,Success,Transfer,24037632,12/18/2025 6:14,0x9e1a869ce3219239f516aa5600f077f1e0cef995,,0x8186a9C0018c765fab11C8C1e01dD309CE322cCf,,0.35380171 ETH,"$1,044.08 ",0.00000075
0xb9bb64843e66472ea9f5ea0b1b665d96b48d948add54f5f8146827a9ceb2c2ba,Success,Transfer,24037620,12/18/2025 6:12,0x8186a9c0018c765fab11c8c1e01dd309ce322ccf,,0x77EBDeF9dC7161a4A706CD387153B35C38527400,,0.04802236 ETH,$141.72 ,0.0000756
0xda8785dd6bfbff8f284ba4d94c4a2ebe760f4d823c4010a664616c9e5709d632,Success,Transfer,24037613,12/18/2025 6:10,0x9e1a869ce3219239f516aa5600f077f1e0cef995,,0x8186a9C0018c765fab11C8C1e01dD309CE322cCf,,0.04809796 ETH,$141.94 ,0.00000069
